,ranking,school_name,school_type,address,city,zipcode,county,district,is_charter,is_magnet,is_title_i,total_students,fullt_time_teachers,student_teacher_ratio,free_lunch_recipient,white,black,hispanic,asian,total_expenditure_per_pupil,ranking_quartile,type_is_Top 25th Percentile,type_is_50th Percentile,type_is_75th Percentile,type_is_Bottom 25th Percentile,lunch_eligibity_high,lunch_eligibity_high_False,lunch_eligibity_high_True
540,1330,Ps/Middle School 42 R Vernam,Public,488 Beach 66th St,Arverne,11692,Queens County,New York City Geographic District #27,No,No,Yes,644,58.0,11.1,94.9,8 (1.2%),446 (69.3%),158 (24.5%),14 (2.2%),,Bottom 25th Percentile,0,0,0,1,True,0,1
541,1331,Queens United Middle School,Public,229-02 137th Ave,Springfield Gardens,11413,Queens County,New York City Geographic District #29,No,No,Yes,167,14.0,11.9,69.5,1 (0.6%),153 (91.6%),10 (6.0%),0 (0.0%),,Bottom 25th Percentile,0,0,0,1,False,1,0
542,1332,Leaders Of Tomorrow,Public,3710 Barnes Ave,Bronx,10467,Bronx County,New York City Geographic District #11,No,No,Yes,427,29.0,14.7,91.6,6 (1.4%),250 (58.5%),161 (37.7%),5 (1.2%),,Bottom 25th Percentile,0,0,0,1,True,0,1
543,1333,Junior High School 22 Jordan L Mott,Public,270 E 167th St,Bronx,10456,Bronx County,New York City Geographic District # 9,No,No,Yes,423,45.0,9.4,96.9,8 (1.9%),86 (20.3%),324 (76.6%),1 (0.2%),,Bottom 25th Percentile,0,0,0,1,True,0,1
544,1336,School Of Performing Arts,Public,977 Fox St,Bronx,10459,Bronx County,New York City Geographic District #12,No,No,Yes,348,26.0,13.3,88.5,5 (1.4%),118 (33.9%),212 (60.9%),2 (0.6%),,Bottom 25th Percentile,0,0,0,1,True,0,1
545,1338,Brownsville Collaborative Middle School,Public,85 Watkins St,Brooklyn,11212,Kings County,New York City Geographic District #23,No,No,Yes,279,18.0,15.5,94.6,5 (1.8%),189 (67.7%),81 (29.0%),1 (0.4%),,Bottom 25th Percentile,0,0,0,1,True,0,1
546,1339,Ps/Middle School 29 Melrose School,Public,758 Courtlandt Ave,Bronx,10451,Bronx County,New York City Geographic District # 7,No,No,Yes,792,60.0,13.2,91.9,10 (1.3%),257 (32.4%),501 (63.3%),7 (0.9%),,Bottom 25th Percentile,0,0,0,1,True,0,1
547,1341,New Millennium Bronx Academy Of The Arts,Public,1000 Teller Ave,Bronx,10456,Bronx County,New York City Geographic District # 9,No,No,Yes,321,19.0,16.8,87.2,6 (1.9%),97 (30.2%),214 (66.7%),2 (0.6%),,Bottom 25th Percentile,0,0,0,1,True,0,1
548,1342,East New York Middle School Of Excellence,Public,605 Shepherd Ave,Brooklyn,11208,Kings County,New York City Geographic District #19,No,No,Yes,266,22.0,12.1,91.0,5 (1.9%),150 (56.4%),101 (38.0%),8 (3.0%),,Bottom 25th Percentile,0,0,0,1,True,0,1
549,1344,Urban Assembly Bronx Academy Of Letters (The),Public,339 Morris Ave,Bronx,10451,Bronx County,New York City Geographic District # 7,No,No,Yes,587,58.0,10.1,89.9,17 (2.9%),190 (32.4%),373 (63.5%),2 (0.3%),,Bottom 25th Percentile,0,0,0,1,True,0,1
550,1345,Middle School 301 Paul L Dunbar,Public,890 Cauldwell Ave,Bronx,10456,Bronx County,New York City Geographic District # 8,No,No,Yes,246,22.0,11.1,93.1,5 (2.0%),101 (41.1%),136 (55.3%),0 (0.0%),,Bottom 25th Percentile,0,0,0,1,True,0,1
551,1346,Accion Academy,Public,977 Fox St,Bronx,10459,Bronx County,New York City Geographic District #12,No,No,Yes,396,29.0,13.6,96.2,6 (1.5%),74 (18.7%),310 (78.3%),4 (1.0%),,Bottom 25th Percentile,0,0,0,1,True,0,1
552,1351,North Bronx School Of Empowerment,Public,3710 Barnes Ave,Bronx,10467,Bronx County,New York City Geographic District #11,No,No,Yes,557,39.0,14.2,87.8,10 (1.8%),322 (57.8%),193 (34.6%),16 (2.9%),,Bottom 25th Percentile,0,0,0,1,True,0,1
553,1355,Angelo Patri Middle School (The),Public,2225 Webster Ave,Bronx,10457,Bronx County,New York City Geographic District #10,No,No,Yes,470,47.0,10.0,90.9,5 (1.1%),108 (23.0%),346 (73.6%),4 (0.9%),,Bottom 25th Percentile,0,0,0,1,True,0,1
554,1357,Junior High School 151 Lou Gehrig,Public,250 E 156th St,Bronx,10451,Bronx County,New York City Geographic District # 7,No,No,Yes,234,22.0,10.6,95.7,6 (2.6%),57 (24.4%),169 (72.2%),0 (0.0%),,Bottom 25th Percentile,0,0,0,1,True,0,1
555,1359,Ps 111 Jacob Blackwell,Public,37-15 13th St,Long Island City,11101,Queens County,New York City Geographic District #30,No,No,Yes,334,30.0,11.1,90.7,9 (2.7%),164 (49.1%),139 (41.6%),11 (3.3%),,Bottom 25th Percentile,0,0,0,1,True,0,1
556,1362,Hunts Point School (The),Public,730 Bryant Ave,Bronx,10474,Bronx County,New York City Geographic District # 8,No,No,Yes,300,25.0,12.0,90.3,4 (1.3%),81 (27.0%),209 (69.7%),5 (1.7%),,Bottom 25th Percentile,0,0,0,1,True,0,1
557,1363,Van Siclen Community Middle School,Public,800 Van Siclen Ave,Brooklyn,11207,Kings County,New York City Geographic District #19,No,No,Yes,313,21.0,14.9,93.0,14 (4.5%),218 (69.6%),75 (24.0%),6 (1.9%),,Bottom 25th Percentile,0,0,0,1,True,0,1
558,1364,Harold O Levy School,Public,650 Academy St,New York,10034,New York County,New York City Geographic District # 6,No,No,Yes,255,22.0,11.5,96.9,1 (0.4%),9 (3.5%),243 (95.3%),0 (0.0%),,Bottom 25th Percentile,0,0,0,1,True,0,1
559,1365,Academy Of Public Relations,Public,778 Forest Ave,Bronx,10456,Bronx County,New York City Geographic District # 7,No,No,Yes,262,24.0,10.9,90.5,3 (1.1%),61 (23.3%),195 (74.4%),0 (0.0%),,Bottom 25th Percentile,0,0,0,1,True,0,1
560,1366,Academy For New Americans,Public,30-14 30th St,Astoria,11102,Queens County,New York City Geographic District #30,No,No,Yes,109,10.0,10.8,91.7,17 (15.6%),2 (1.8%),72 (66.1%),18 (16.5%),,Bottom 25th Percentile,0,0,0,1,True,0,1
561,1367,Ps 184 Newport,Public,273 Newport St,Brooklyn,11212,Kings County,New York City Geographic District #23,No,No,Yes,518,41.0,12.6,97.9,5 (1.0%),360 (69.5%),144 (27.8%),1 (0.2%),,Bottom 25th Percentile,0,0,0,1,True,0,1
562,1368,Bronx Alliance Middle School,Public,3750 Baychester Ave,Bronx,10466,Bronx County,New York City Geographic District #11,No,No,Yes,300,24.0,12.4,86.0,1 (0.3%),187 (62.3%),102 (34.0%),9 (3.0%),,Bottom 25th Percentile,0,0,0,1,True,0,1
563,1378,Junior High School 218 James P Sinnott,Public,370 Fountain Ave,Brooklyn,11208,Kings County,New York City Geographic District #19,No,No,Yes,427,38.0,11.2,96.3,7 (1.6%),181 (42.4%),156 (36.5%),72 (16.9%),,Bottom 25th Percentile,0,0,0,1,True,0,1
564,1379,New Design Middle School,Public,625 W 133rd St,New York,10031,New York County,New York City Geographic District # 5,No,No,Yes,145,13.0,11.1,95.9,4 (2.8%),91 (62.8%),48 (33.1%),0 (0.0%),,Bottom 25th Percentile,0,0,0,1,True,0,1
565,1386,Mott Hall IV,Public,1137 Herkimer St,Brooklyn,11233,Kings County,New York City Geographic District #23,No,No,Yes,173,11.0,15.7,82.1,1 (0.6%),151 (87.3%),20 (11.6%),1 (0.6%),,Bottom 25th Percentile,0,0,0,1,True,0,1
566,1392,Is 229 Roland Patterson,Public,275 Harlem River Park Bridge,Bronx,10453,Bronx County,New York City Geographic District # 9,No,No,Yes,239,29.0,8.2,93.7,0 (0.0%),90 (37.7%),144 (60.3%),0 (0.0%),,Bottom 25th Percentile,0,0,0,1,True,0,1
567,1393,Opportunity Charter School,"Public, Charter",240 W 113th St-4th Fl,New York,10026,New York County,Opportunity Charter School,Yes,No,Yes,486,35.0,13.8,87.2,2 (0.4%),230 (47.3%),239 (49.2%),3 (0.6%),,Bottom 25th Percentile,0,0,0,1,True,0,1
568,1396,Is 219 New Venture School,Public,3630 3rd Ave,Bronx,10456,Bronx County,New York City Geographic District # 9,No,No,Yes,352,34.0,10.3,94.0,3 (0.9%),136 (38.6%),209 (59.4%),0 (0.0%),,Bottom 25th Percentile,0,0,0,1,True,0,1
569,1398,School Of The Future Brooklyn,Public,574 Dumont Ave,Brooklyn,11207,Kings County,New York City Geographic District #19,No,No,Yes,191,19.0,10.0,95.8,2 (1.0%),130 (68.1%),55 (28.8%),2 (1.0%),,Bottom 25th Percentile,0,0,0,1,True,0,1
570,1399,Middle School 53 Brian Piccolo,Public,10-45 Nameoke St,Far Rockaway,11691,Queens County,New York City Geographic District #27,No,No,Yes,227,21.0,10.8,86.3,4 (1.8%),119 (52.4%),94 (41.4%),3 (1.3%),,Bottom 25th Percentile,0,0,0,1,True,0,1
571,1408,Middle School 594,Public,1000 Teller Ave,Bronx,10456,Bronx County,New York City Geographic District # 9,No,No,Yes,190,17.0,11.1,94.2,2 (1.1%),55 (28.9%),130 (68.4%),1 (0.5%),,Bottom 25th Percentile,0,0,0,1,True,0,1
572,1411,Ps/Is 224,Public,345 Brook Ave,Bronx,10454,Bronx County,New York City Geographic District # 7,No,No,Yes,328,29.0,11.3,96.6,5 (1.5%),81 (24.7%),240 (73.2%),1 (0.3%),,Bottom 25th Percentile,0,0,0,1,True,0,1
573,1419,New Directions Secondary School,Public,240 E 172nd St,Bronx,10457,Bronx County,New York City Geographic District # 9,No,No,Yes,217,24.0,9.0,94.0,3 (1.4%),52 (24.0%),149 (68.7%),5 (2.3%),,Bottom 25th Percentile,0,0,0,1,True,0,1
