,ranking,school_name,school_type,address,city,zipcode,county,district,is_charter,is_magnet,is_title_i,total_students,full_time_teachers,student_teacher_ratio,free_lunch_recipient,white,black,hispanic,asian,total_expenditure_per_pupil,ranking_quartile,type_is_Top 25th Percentile,type_is_50th Percentile,type_is_75th Percentile,type_is_Bottom 25th Percentile,lunch_eligibity_high,lunch_eligibity_high_False,lunch_eligibity_high_True
822,2139,Ps 536,Public,1827 Archer St,Bronx,10460,Bronx County,New York City Geographic District #12,No,No,Yes,420,28.0,14.9,93.8,9 (2.1%),102 (24.3%),261 (62.1%),35 (8.3%),,Bottom 25th Percentile,0,0,0,1,True,0,1
823,2140,Ps 163 Arthur A Schomberg,Public,2075 Webster Ave,Bronx,10457,Bronx County,New York City Geographic District # 9,No,No,Yes,471,44.0,10.7,98.1,6 (1.3%),170 (36.1%),288 (61.1%),4 (0.8%),,Bottom 25th Percentile,0,0,0,1,True,0,1
824,2142,Ps 274 Kosciusko,Public,800 Bushwick Ave,Brooklyn,11221,Kings County,New York City Geographic District #32,No,No,Yes,366,27.0,13.5,98.1,14 (3.8%),46 (12.6%),292 (79.8%),3 (0.8%),,Bottom 25th Percentile,0,0,0,1,True,0,1
825,2143,Ps 196,Public,1250 Ward Ave,Bronx,10472,Bronx County,New York City Geographic District #12,No,No,Yes,884,70.0,12.6,87.1,12 (1.4%),124 (14.0%),717 (81.1%),9 (1.0%),,Bottom 25th Percentile,0,0,0,1,True,0,1
826,2144,Ps 11 Highbridge,Public,1257 Ogden Ave,Bronx,10452,Bronx County,New York City Geographic District # 9,No,No,Yes,553,47.0,11.7,91.7,3 (0.5%),164 (29.7%),381 (68.9%),0 (0.0%),,Bottom 25th Percentile,0,0,0,1,True,0,1
827,2145,Ps/Middle School 138 Sunrise,Public,251-11 Weller Ave,Rosedale,11422,Queens County,New York City Geographic District #29,No,No,Yes,727,49.0,14.8,75.7,23 (3.2%),567 (78.0%),91 (12.5%),19 (2.6%),,Bottom 25th Percentile,0,0,0,1,True,0,1
828,2148,Ps 24,Public,427 38th St,Brooklyn,11232,Kings County,New York City Geographic District #15,No,No,Yes,624,52.0,11.9,93.6,31 (5.0%),9 (1.4%),553 (88.6%),25 (4.0%),,Bottom 25th Percentile,0,0,0,1,True,0,1
829,2154,Ps 375 Jackie Robinson School,Public,46 McKeever Pl,Brooklyn,11225,Kings County,New York City Geographic District #17,No,No,Yes,341,27.0,12.6,94.4,5 (1.5%),235 (68.9%),84 (24.6%),6 (1.8%),,Bottom 25th Percentile,0,0,0,1,True,0,1
830,2159,Ps 35 Franz Siegel,Public,261 E 163rd St,Bronx,10451,Bronx County,New York City Geographic District # 9,No,No,Yes,618,52.0,11.8,94.7,7 (1.1%),167 (27.0%),432 (69.9%),2 (0.3%),,Bottom 25th Percentile,0,0,0,1,True,0,1
831,2162,Ps 21 Philip H Sheridan,Public,715 E 225th St,Bronx,10466,Bronx County,New York City Geographic District #11,No,No,Yes,644,43.0,14.9,90.5,10 (1.6%),395 (61.3%),196 (30.4%),11 (1.7%),,Bottom 25th Percentile,0,0,0,1,True,0,1
832,2169,Stem Institute Of Manhattan,Public,240 W 113th St,New York,10026,New York County,New York City Geographic District # 3,No,No,Yes,131,16.0,8.1,91.6,13 (9.9%),64 (48.9%),48 (36.6%),4 (3.1%),,Bottom 25th Percentile,0,0,0,1,True,0,1
833,2171,Lighthouse Elementary School,Public,180 Beach 35th St,Far Rockaway,11691,Queens County,New York City Geographic District #27,No,No,Yes,208,21.0,9.9,95.7,7 (3.4%),128 (61.5%),59 (28.4%),5 (2.4%),,Bottom 25th Percentile,0,0,0,1,True,0,1
834,2176,Ps 133 Fred R Moore,Public,2121 5th Ave,New York,10037,New York County,New York City Geographic District # 5,No,No,Yes,223,27.0,8.2,93.3,9 (4.0%),99 (44.4%),101 (45.3%),8 (3.6%),,Bottom 25th Percentile,0,0,0,1,True,0,1
